,Ticker Bloomberg,volume_avg_90d,ValDate,Fund,Ticker Lote,ProductClass,Book,FinancialPU,Amount,Dt_Expiry,YesterdayPU,YestAmount,PL,EQUITY,Trade,Tipo,ISIN,Isin_Ativo_Objeto,
0,ALPA4 BZ Equity,1948331,4/20/2020,BRAZIL OPPORTUNITIES FIM,ALPA4,Equity,RV_Brasil_Long_,26.58,8253,,26.33,8253,2063.25,219364.74,ESTOQUE,STOCK,BBG000BC1CL9,,
1,ALPA4 BZ Equity,1948331,4/20/2020,BRAZIL OPPORTUNITIES VISTA FIM,ALPA4,Equity,RV_Brasil_Long_,26.58,84051,,26.33,84051,21012.75,2234075.58,ESTOQUE,STOCK,BBG000BC1CL9,,
2,ALPA4 BZ Equity,1948331,4/20/2020,VISTA FIA,ALPA4,Equity,RV_Brasil_Long_,26.58,411190,,26.33,411190,102797.5,10929430.2,ESTOQUE,STOCK,BBG000BC1CL9,,
3,ALPA4 BZ Equity,1948331,4/20/2020,VISTA LONG BIASED MASTER FIM,ALPA4,Equity,RV_Brasil_Long_,26.58,39906,,26.33,39906,9976.5,1060701.48,ESTOQUE,STOCK,BBG000BC1CL9,,
4,BBAS3 BZ Equity,16803300,4/20/2020,BRAZIL OPPORTUNITIES FIM,BBAS3,Equity,RV_Brasil_Long_,28.99,7207,,29.58,7207,-4252.13,208930.93,ESTOQUE,STOCK,BBG000BG5VC4,,
5,BBAS3 BZ Equity,16803300,4/20/2020,BRAZIL OPPORTUNITIES VISTA FIM,BBAS3,Equity,RV_Brasil_Long_,28.99,73402,,29.58,73402,-43307.18,2127923.98,ESTOQUE,STOCK,BBG000BG5VC4,,
6,BBAS3 BZ Equity,16803300,4/20/2020,VISTA FIA,BBAS3,Equity,RV_Brasil_Long_,28.99,358841,,29.58,358841,-211716.19,10402800.59,ESTOQUE,STOCK,BBG000BG5VC4,,
7,BBAS3 BZ Equity,16803300,4/20/2020,VISTA HEDGE FIC FIM,BBAS3,Equity,RV_Brasil_Bancos_,28.99,-1.195,,29.58,-17169.415,-293747.5392,-34.64305,ESTOQUE,STOCK,BBG000BG5VC4,,
8,BBAS3 BZ Equity,16803300,4/20/2020,VISTA LONG BIASED MASTER FIM,BBAS3,Equity,RV_Brasil_Long_,28.99,34850,,29.58,34850,-20561.5,1010301.5,ESTOQUE,STOCK,BBG000BG5VC4,,
9,BBAS3 BZ Equity,16803300,4/20/2020,VISTA MULTIESTRATEGIA FIC FIM,BBAS3,Equity,RV_Brasil_Bancos_,28.99,-59.235,,29.58,-430333.435,-7361956.613,-1717.22265,ESTOQUE,STOCK,BBG000BG5VC4,,
