,Ticker Bloomberg,volume_avg_90d,ValDate,Fund,Ticker Lote,ProductClass,Book,FinancialPU,Amount,Dt_Expiry,YesterdayPU,YestAmount,PL,EQUITY,Trade,Tipo,ISIN,Isin_Ativo_Objeto
0,ALPA4 BZ Equity,1948331.0,2020-04-17,BRAZIL OPPORTUNITIES FIM,ALPA4,Equity,RV_Brasil_Long_,26.33,8253.0,,26.26,8253.0,577.709999999973,217301.49,ESTOQUE,STOCK,BBG000BC1CL9,
1,ALPA4 BZ Equity,1948331.0,2020-04-17,BRAZIL OPPORTUNITIES VISTA FIM,ALPA4,Equity,RV_Brasil_Long_,26.33,84051.0,,26.26,84051.0,5883.5699999997305,2213062.83,ESTOQUE,STOCK,BBG000BC1CL9,
2,ALPA4 BZ Equity,1948331.0,2020-04-17,VISTA FIA,ALPA4,Equity,RV_Brasil_Long_,26.33,411190.0,,26.26,411190.0,28783.2999999987,10826632.7,ESTOQUE,STOCK,BBG000BC1CL9,
3,ALPA4 BZ Equity,1948331.0,2020-04-17,VISTA LONG BIASED MASTER FIM,ALPA4,Equity,RV_Brasil_Long_,26.33,39906.0,,26.26,39906.0,2793.41999999987,1050724.98,ESTOQUE,STOCK,BBG000BC1CL9,
4,BBAS3 BZ Equity,16803300.0,2020-04-17,BRAZIL OPPORTUNITIES FIM,BBAS3,Equity,RV_Brasil_Long_,29.58,7207.0,,28.8,8722.0,6210.3556499999795,213183.06,ESTOQUE,STOCK,BBG000BG5VC4,
5,BBAS3 BZ Equity,16803300.0,2020-04-17,BRAZIL OPPORTUNITIES VISTA FIM,BBAS3,Equity,RV_Brasil_Long_,29.58,73402.0,,28.8,88831.0,63250.96658999981,2171231.16,ESTOQUE,STOCK,BBG000BG5VC4,
6,BBAS3 BZ Equity,16803300.0,2020-04-17,VISTA FIA,BBAS3,Equity,RV_Brasil_Long_,29.58,358841.0,,28.8,434572.0,309333.377009999,10614516.78,ESTOQUE,STOCK,BBG000BG5VC4,
7,BBAS3 BZ Equity,16803300.0,2020-04-17,VISTA HEDGE FIC FIM,BBAS3,Equity,RV_Brasil_Bancos_,29.58,-17168.22,,28.8,-17168.22,-13391.2116,-507835.9476,ESTOQUE,STOCK,BBG000BG5VC4,
8,BBAS3 BZ Equity,16803300.0,2020-04-17,VISTA LONG BIASED MASTER FIM,BBAS3,Equity,RV_Brasil_Long_,29.58,34850.0,,28.8,42175.0,30030.300749999904,1030863.0,ESTOQUE,STOCK,BBG000BG5VC4,
9,BBAS3 BZ Equity,16803300.0,2020-04-17,VISTA MACRO MASTER FIM,BBAS3,Equity,RV_Brasil_Bancos_,29.58,-500000.0,,28.8,-500000.0,-389999.999999999,-14790000.0,ESTOQUE,STOCK,BBG000BG5VC4,
10,BBAS3 BZ Equity,16803300.0,2020-04-17,VISTA MULTIESTRATEGIA FIC FIM,BBAS3,Equity,RV_Brasil_Bancos_,29.58,-430274.2,,28.8,-430274.2,-335613.875999999,-12727510.836,ESTOQUE,STOCK,BBG000BG5VC4,
11,BBDC4 BZ Equity,30939170.0,2020-04-17,BRAZIL OPPORTUNITIES FIM,BBDC4,Equity,RV_Brasil_Long_,20.36,8768.20000000001,,19.97,6481.20000000001,2527.66800000001,178520.552,ESTOQUE,STOCK,BBG000BBKQT1,
12,BBDC4 BZ Equity,30939170.0,2020-04-17,BRAZIL OPPORTUNITIES VISTA FIM,BBDC4,Equity,RV_Brasil_Long_,20.36,89299.1,,19.97,66012.1,25744.718999999997,1818129.676,ESTOQUE,STOCK,BBG000BBKQT1,
